"Esplande MniLand
Games data summary
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,,"Device Type","Controller usage","Equipment LOGO","Device name",Profit,"Consumption amount","Out gift amount",,"Gift rate","Ticket rate","Single Coin ticketing rate","Win rate","Gross profit",Revenue,"Divided into","Token A",,"Token B",,Token,,"WeChat PAY",ALIPAY,E-Cash,,,Ticket,e-Ticket,"Number of gifts","Profit ratio",Times,"Machine Qty","Average Token A","Average Token B","Play times",Notes,Partner,"Is test data"
,,,,,,,,,,,,,,,,,"Token In","Token Out","Token In","Token B Refund","Token In","Token Out",,,Principal,Bonus,"Total revenue",,,,,,,,,,,,
"Device Type: MaiMai ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MaiMai,"Game machine",017C,MaiMai,,$279.00,,,,,,,279.00,$279.00,,,,,,,,,,$279.00,,$279.00,,,,"0.00 %",2,,,,36,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$279.00,0.00,,,,,,279.00,$279.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$279.00,$0.00,$279.00,0,0,0,"0.0000 %",2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Master Speed ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Master Speed","Return Tickets",012B,"Master Speed P1",,$54.00,,,,1.67,,,54.00,$54.00,,,,,,,,,,$54.00,,$54.00,,90,,"0.00 %",,,,,6,,,No
,,"Master Speed","Return Tickets",012C,"Master Speed P2",,$76.00,,,,3.55,,,76.00,$76.00,,,,,,,,,,$76.00,,$76.00,,270,,"0.00 %",,,,,8,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$130.00,0.00,,,,,,130.00,$130.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$130.00,$0.00,$130.00,0,360,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Midnight DX 5 Eco ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Midnight DX 5 Eco","Return Tickets",0167,"Midnight DX 5 Eco 1",,$114.00,,,,,,,114.00,$114.00,,,,,,,,,,$114.00,,$114.00,,,,"0.00 %",,,,,4,,,No
,,"Midnight DX 5 Eco","Return Tickets",0168,"Midnight DX 5 Eco 2",,$84.00,,,,,,,84.00,$84.00,,,,,,,,,,$84.00,,$84.00,,,,"0.00 %",,,,,3,,,No
,,"Midnight DX 5 Eco","Return Tickets",0169,"Midnight DX 5 Eco 3",,$84.00,,,,,,,84.00,$84.00,,,,,,,,,,$84.00,,$84.00,,,,"0.00 %",,,,,3,,,No
,,"Midnight DX 5 Eco","Return Tickets",016A,"Midnight DX 5 Eco 4",,$54.00,,,,,,,54.00,$54.00,,,,,,,,,,$54.00,,$54.00,,,,"0.00 %",,,,,2,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$336.00,0.00,,,,,,336.00,$336.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$336.00,$0.00,$336.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Midnight DX 5 Master ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Midnight DX 5 Master","Return Tickets",016B,"Midnight DX 5 Master 1",,$60.00,,,,,,,60.00,$60.00,,,,,,,,,,$60.00,,$60.00,,,,"0.00 %",,,,,2,,,No
,,"Midnight DX 5 Master","Return Tickets",016C,"Midnight DX 5 Master 2",,$60.00,,,,,,,60.00,$60.00,,,,,,,,,,$60.00,,$60.00,,,,"0.00 %",,,,,2,,,No
,,"Midnight DX 5 Master","Return Tickets",016E,"Midnight DX 5 Master 4",,$87.00,,,,,,,87.00,$87.00,,,,,,,,,,$87.00,,$87.00,,,,"0.00 %",,,,,3,,,No
,,"Midnight DX 5 Master","Return Tickets",017F,"Midnight DX 5 Master 3",,$87.00,,,,,,,87.00,$87.00,,,,,,,,,,$87.00,,$87.00,,,,"0.00 %",,,,,3,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$294.00,0.00,,,,,,294.00,$294.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$294.00,$0.00,$294.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Mini Crane ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Mini Crane","Prize Machine",012E,"Mini Crane 4",,$85.00,,,,,,,85.00,$85.00,,,,,,,,,,$85.00,$7.00,$92.00,,,,"0.00 %",,,,,10,,,No
,,"Mini Crane","Prize Machine",013B,"Mini Crane 2",,$37.00,,,,,,,37.00,$37.00,,,,,,,,,,$37.00,,$37.00,,,,"0.00 %",,,,,4,,,No
,,"Mini Crane","Prize Machine",013C,"Mini Crane 1",,$119.00,,,,,,,119.00,$119.00,,,,,,,,,,$119.00,,$119.00,,,,"0.00 %",,,,,13,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$241.00,0.00,,,,,,241.00,$241.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$241.00,$7.00,$248.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Mini Key ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Mini Key","Prize Machine",0137,"Mini Key3",,$18.00,,,,,,,18.00,$18.00,,,,,,,,,,$18.00,,$18.00,,,,"0.00 %",,,,,2,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$18.00,0.00,,,,,,18.00,$18.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$18.00,$0.00,$18.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Mini Mario ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Mini Mario","Prize Machine",014C,"Mini Mario Yellow 1",,$63.00,,,,,,,63.00,$63.00,,,,,,,,,,$63.00,,$63.00,,,,"0.00 %",,,,,7,,,No
,,"Mini Mario","Prize Machine",014E,"Mini Mario Pink 1",,$96.00,,,,,,32.00,96.00,$96.00,,,,,,,,,,$96.00,,$96.00,,,3,"0.00 %",,,,,10,,,No
,,"Mini Mario","Prize Machine",014F,"Mini Mario Blue 1",,$111.00,,,,,,15.86,111.00,$111.00,,,,,,,,,,$111.00,,$111.00,,,7,"0.00 %",,,,,12,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$270.00,0.00,,,,,,270.00,$270.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$270.00,$0.00,$270.00,0,0,10,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Naughty Beans ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Naughty Beans","Return Tickets",012A,"Naughty Beans",,$20.00,,,,5.00,,,20.00,$20.00,,,,,,,,,,$20.00,,$20.00,,100,,"0.00 %",,,,,2,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$20.00,0.00,,,,,,20.00,$20.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$20.00,$0.00,$20.00,0,100,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Percussion Master ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Percussion Master","Game machine",0177,"Percussion Master",,$72.00,,,,,,,72.00,$72.00,,,,,,,,,,$72.00,,$72.00,,,,"0.00 %",,,,,8,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$72.00,0.00,,,,,,72.00,$72.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$72.00,$0.00,$72.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Pinball ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pinball,"Prize Machine",0182,Pinball,,$54.00,,,,,,,54.00,$54.00,,,,,,,,,,$54.00,,$54.00,,,,"0.00 %",,,,,6,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$54.00,0.00,,,,,,54.00,$54.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$54.00,$0.00,$54.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Pump It Up ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Pump It Up","Return Tickets",0162,"Pump It Up",,$120.00,,,,,,,120.00,$120.00,,,,,,,,,,$120.00,,$120.00,,,,"0.00 %",,,,,4,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$120.00,0.00,,,,,,120.00,$120.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$120.00,$0.00,$120.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Q Crane ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Q Crane","Prize Machine",0148,"Q Crane Red 1",,$9.00,,,,,,,9.00,$9.00,,,,,,,,,,$9.00,,$9.00,,,,"0.00 %",,,,,1,,,No
,,"Q Crane","Prize Machine",0149,"Q Crane Orange 1",,$45.00,,,,,,45.00,45.00,$45.00,,,,,,,,,,$45.00,,$45.00,,,1,"0.00 %",,,,,5,,,No
,,"Q Crane","Prize Machine",014A,"Q Crane Pink 1",,$39.00,,,,,,,39.00,$39.00,,,,,,,,,,$39.00,,$39.00,,,,"0.00 %",,,,,4,,,No
,,"Q Crane","Prize Machine",014B,"Q Crane Green 1",,$9.00,,,,,,,9.00,$9.00,,,,,,,,,,$9.00,,$9.00,,,,"0.00 %",,,,,1,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
